公園名稱,編號,裡別,面積,類別,座落位置,使用分區,維護管理單位,所在轄區,X座標(TW97),y座標(TW97)
步織道,53,,150,好望角,崇明路-文化中心步織道,公園用地,台南文化中心,東區,170251.820000,2541726.110000
東19,54,,8261,好望角,中華東路與崇明路口--文化中心東側庭園,公園用地,台南文化中心,東區,170308.500000,2541664.240000
東13,55,,1440,好望角,中華東路--文化中心（長榮桂冠旁）,公園用地,台南文化中心,東區,170165.830000,2541618.930000
巴克禮紀念公園(公18),56,崇明裡,3.3312,區域公園,中華東路(文化中心對面),大型,公園管理一科,東區,170194.100000,2541572.600000
巴克禮紀念公園(公18)-河津櫻花區,57,崇明裡,5.8,區域公園,中華東路(文化中心對面),大型,公園管理一科,東區,170221.850000,2541449.410000
東門圓環,58,東門、大同裡；萬昌、開山裡,0.213,區域公園,北門路、府前路圓環,大型,公園管理一科,東區,169149.290000,2543270.110000
後甲圓環(綠7),59,後甲、東聖、富強、東光裡,0.28,區域公園,東寧路、中華東路圓環,大型,公園管理一科,東區,171427.330000,2543196.460000
花環再現,60,,1763,好望角,中華東路--後甲圓環(第二期),綠地,公園管理一科,東區,171427.330000,2543196.460000
光與綠,61,,480,好望角,東寧路、林森路口--東寧運動公園,公園用地,公園管理一科,東區,170489.250000,2543539.820000
東寧運動公園(公4),62,大學裡,5.4,區域公園,林森路與東寧路口,大型,公園管理一科,東區,170517.750000,2543539.560000
龍山段公E7,63,龍山裡,1.54,區域公園,林森路一段、府連路口,大型,公園管理一科,東區,170036.660000,2542703.900000
綠波帶,66,,27,好望角,中華西路、府前路口--社福大樓,機關用地,社會局(示範托兒所),安平區,166553.870000,2543684.510000
音樂饗宴,67,,750,好望角,府前四街-公兒6,公園用地,安平區公所,安平區,166374.280000,2544226.270000
陽光綠之園,68,,2055,好望角,市政大樓府前路後門綠地,機關用地,秘書處,安平區,166455.850000,2543738.210000
區政綠園,69,,約380,好望角,健康三街、育平九街口西南角-新區政大樓東北角,學校用地,安平區公所,安平區,164831.030000,2544019.320000
古運河綠色隧道,70,,約2360,好望角,安平路406巷至500巷間綠帶,綠地,安平區公所,安平區,165266.040000,2544454.190000
樂活街角,71,,約45㎡加圍牆長265m,好望角,長青公寓-健康路、建平路口,機關用地,社會局(長青科),安平區,166084.470000,2542613.240000
